时间戳	疲劳类型	持续时长
2026-04-13 23:49:48	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:49	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:50	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:51	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:52	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:53	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
2026-04-13 23:49:54	低头	0.000秒
